Sample,Dice,IoU,Accuracy,Sensitivity,Specificity,clDice
87,0.9073535799980164,0.8304183483123779,0.9838085770606995,0.8589716553688049,0.9965034127235413,0.9295333579815287
88,0.902687132358551,0.8226342797279358,0.9828125238418579,0.8478396534919739,0.9968201518058777,0.9293428288321173
89,0.9387297630310059,0.8845341801643372,0.9866504073143005,0.9110047817230225,0.9962158203125,0.9442608753441946
90,0.8780830502510071,0.7826631665229797,0.9796777367591858,0.8131510615348816,0.9961473941802979,0.8689068929694449
91,0.9101831912994385,0.8351708054542542,0.9763476848602295,0.8825602531433105,0.9910842180252075,0.9258579609827398
92,0.8647270798683167,0.7616909146308899,0.9735742211341858,0.7878484129905701,0.9958762526512146,0.8639198620332864
93,0.90234375,0.8220640420913696,0.98193359375,0.8490116000175476,0.996425986289978,0.911087147841322
94,0.8788149952888489,0.7838268876075745,0.9814648628234863,0.8053832650184631,0.9974961280822754,0.9151582243849778
95,0.9142339825630188,0.8420175313949585,0.981494128704071,0.8604532480239868,0.997165322303772,0.9371110072219552
96,0.9261975288391113,0.8625400066375732,0.9844726324081421,0.8946377038955688,0.9954519271850586,0.9458946001856571
97,0.907295286655426,0.8303206562995911,0.9817578196525574,0.8613021969795227,0.9956856369972229,0.9209094875524544
98,0.9047118425369263,0.8260034918785095,0.9805273413658142,0.8484359383583069,0.9966791868209839,0.9285779468102787
99,0.90482497215271,0.8261920809745789,0.9824512004852295,0.8707441091537476,0.9942866563796997,0.9213270317214457
100,0.8832736611366272,0.7909491062164307,0.9675195217132568,0.8377604484558105,0.9898259043693542,0.8884588670305194
Mean,0.8956534844636918,0.8128650522232056,0.9786325174570084,0.8590039658546448,0.9927487099170684,0.910758501183231
Std,0.036750664492725856,0.05543390141976679,0.009685352349657112,0.04353839705981967,0.006455572270230497,0.0378476616348908
